segment_ID,road_importance,nbr_carcasses,long_midpoint,lat_midpoint,length,dist_from_center,distance_water_km,distance_amenity_km,sparse_open_grassland,dense_closed_grassland,sparse_open_shrubland,dense_closed_shrubland,woodland,forest,water,bare_ground,grassland,shrubland
1_1,minor_road,2,34.7959797644701,-2.4182586978038385,2500.9585753413567,3959.7198880384008,1.17786987860603,1.41983106436163,62.7968366996072,22.82245810179799,1.40806796881066,3.901718075843789,9.07091915393917,0,0,0,85.61929480140519,5.309786044654449
1_2,minor_road,0,34.78236690869337,-2.4019008969009983,2500.3181846596563,6327.657045372787,0.58552815861079,2.1735926299521102,30.037719164927722,53.09283335866267,0.276330878594029,9.047625626925651,6.66896942398829,0.876521546900258,0,0,83.1305525235904,9.32395650551968
1_3,minor_road,0,34.76789239148549,-2.3850803368753435,2500.344318818275,8796.383730999696,0.450487730958436,3.3626802601128203,6.56991665343041,65.13767092177179,1.50475251001078,12.41866673354467,12.670016134290941,1.69897704695107,0,0,71.7075875752022,13.92341924355545
2_1,minor_road,0,34.78924227607467,-2.4270004997825048,2499.3921077946006,3859.4745082124855,1.18546458318878,2.63141592892433,75.7198793849926,18.440178492533395,2.4308010073341,0.551161968719625,2.85797914641689,0,0,0,94.16005787752599,2.981962976053725
2_2,minor_road,0,34.76776623871378,-2.4208621147071923,2499.536626851918,6275.509177809179,1.90858891981852,4.0521246158069,60.878848310417,24.47920407024597,0,0.186166245905171,14.4557813734318,0,0,0,85.35805238066297,0.186166245905171
2_3,minor_road,0,34.7470798572664,-2.4138851794592653,2500.008769637938,8687.514407716872,0.204664337576071,4.25727773997012,11.224807148688477,17.259706432819975,0,13.613997478632212,48.892597508623446,9.00889143123718,0,0,28.484513581508452,13.613997478632212
2_4,minor_road,0,34.73160172160777,-2.3988639548452966,2500.4596266853123,10974.89535569165,0.146784742601581,3.33486561171812,9.249079391491069,27.33851312303334,0,2.96325662293718,55.80437034286723,4.6447805196727,0,0,36.58759251452441,2.96325662293718
3_1,minor_road,0,35.07022587494705,-2.7113663182081114,2207.408657452307,40715.32770238972,10.7988796451651,12.4811665685835,35.7023370682629,64.29766293173711,0,0,0,0,0,0,100,0
5_1,minor_road,0,35.091139827269494,-2.747326922594827,2499.4640689769576,45232.62801981623,7.4184157902444605,7.858683146972671,4.50613777124269,95.49386222875596,0,0,0,0,0,0,99.99999999999865,0
6_1,minor_road,0,35.08188396873083,-2.7075993859126672,2500.579479353942,41321.56420939707,9.862464161826031,12.205520156963999,13.7326777181484,86.2673222818523,0,0,0,0,0,0,100.0000000000007,0
6_2,minor_road,0,35.070999201765765,-2.698893509008721,2499.400441993805,39780.21650156518,10.687746444799,13.6282432489202,4.91682028811725,95.08317971188356,0,0,0,0,0,0,100.00000000000081,0
