segment_ID,road_importance,nbr_carcasses,long_midpoint,lat_midpoint,length,distance_water_km,distance_amenity_km,sparse_open_grassland,dense_closed_grassland,sparse_open_shrubland,dense_closed_shrubland,woodland,forest,water,bare_ground,grassland,shrubland
4_1,minor_road,0,34.791796084504355,-2.7561682083138828,2499.762116743401,2.7582368877317753,1.46972821805372,15.36798866855517,64.81558073654378,3.77223796033994,14.710481586402183,1.33371104815864,0,0,0,80.18356940509895,18.482719546742125
4_2,minor_road,0,34.80605969078107,-2.7401250339982495,2500.3172823923346,2.364080784812662,3.1728586970430404,10.501841212094355,76.86284079061056,2.54580846957563,9.6641451673728,0.425364360345172,0,0,0,87.36468200270492,12.20995363694843
4_3,minor_road,0,34.80181948960422,-2.724483399034325,2499.914811340263,2.2994299866390104,3.74812056262847,18.0478300754674,71.46076010409591,0.859156530005348,9.040543873798216,0.591709416632716,0,0,0,89.50859017956331,9.899700403803564
4_4,minor_road,0,34.78602965045758,-2.710956250064313,2408.9471173147326,2.731755426289286,3.9139231124909,23.78324279606871,70.62919060263766,0,5.587566601294701,0,0,0,0,94.41243339870636,5.587566601294701
5_1,minor_road,0,34.76454240283233,-2.7757377565022967,2500.1948884044805,1.8291165412612445,1.20192345284509,21.294787598937,77.03826036045307,0,0.6628039922893809,1.00414804831841,0,0,0,98.33304795939006,0.6628039922893809
5_2,minor_road,0,34.749686141246976,-2.779398091155685,2500.38715847711,0.24380226539301256,1.80975168765783,12.411689932580328,81.16513081851866,0,0.662956034485244,5.76022321441441,0,0,0,93.576820751099,0.662956034485244
5_3,minor_road,0,34.745694141543666,-2.7596346449275098,2501.2930296319637,0.31392110580224875,1.5452610277947698,48.57516630946001,46.48982659281275,0,1.586828847384975,3.34817825034097,0,0,0,95.06499290227276,1.586828847384975
5_4,minor_road,0,34.746583459428486,-2.738765862075137,2500.9291814406483,0.14606984005260684,2.6108636512224104,33.4508707564087,66.49371874413977,0,0.0554104994500928,0,0,0,0,99.94458950054846,0.0554104994500928
5_5,minor_road,0,34.75493423327097,-2.719804351913011,2500.5895587492087,0.11265398708221416,3.43352205889803,24.889372711463757,74.74304779947158,0,0.36757948906451,0,0,0,0,99.63242051093532,0.36757948906451
5_6,minor_road,0,34.7659488292695,-2.7014440668434565,2500.692176910681,0.30902648002216015,4.83707001160162,45.406318288204474,51.11867866135734,0,3.475003050437601,0,0,0,0,96.52499694956182,3.475003050437601
5_7,minor_road,0,34.77706198316937,-2.682984917037074,2401.834237622737,0.44205564908197126,5.0161943715498,13.7542919830744,85.41936770718912,0,0.826340309735144,0,0,0,0,99.17365969026352,0.826340309735144
6_1,minor_road,0,34.78754675807539,-2.6495675986971343,2501.1965787613135,0.5428744890441477,5.72582712292798,11.50133105074061,80.97220721731459,0.147648292349159,1.13575609499353,0.48311186089481,0,5.75994548370745,0,92.4735382680552,1.283404387342689
6_2,minor_road,0,34.78202675792698,-2.6706600829831406,2501.372573597048,0.5418185582425692,5.29444781749831,3.5049090883912903,95.0715245177486,0.27695844238572,1.13552961378145,0.0110783376954288,0,0,0,98.57643360613989,1.4124880561671698
6_3,minor_road,0,34.781188957516605,-2.6929996640291103,2501.3402690578787,1.2517469363033895,5.73967911575232,16.7136443727717,80.04420237940398,0,3.24215324782377,0,0,0,0,96.75784675217568,3.24215324782377
6_4,minor_road,1,34.77667928436277,-2.7144268603211845,2501.3408879971344,2.048326992412073,3.3134491887394604,29.7638819686649,60.90848696229805,0.776449094834745,7.446437468859006,1.10474450534241,0,0,0,90.67236893096296,8.222886563693752
6_5,minor_road,0,34.77773462824243,-2.7368644216237783,2501.262772640717,1.3752676355313112,0.892424502861032,27.41379024365993,41.73702223180568,3.30850846201906,22.01147804740509,5.52920101511055,0,0,0,69.15081247546561,25.31998650942415
6_6,minor_road,0,34.780548757842375,-2.75412960604806,2500.380691600492,1.4991793282459815,0.36861341697190303,32.49007571859127,37.18266803891285,0.693474478668921,28.91641549658146,0.71736626724497,0,0,0,69.67274375750412,29.609889975250383
6_7,minor_road,0,34.76748416971379,-2.767208587829272,2368.603956027232,1.993329167022417,0.896107633229544,41.3507525671671,50.1096028508466,0.586111501852112,7.95353308013318,0,0,0,0,91.4603554180137,8.539644581985293
7_1,minor_road,0,34.73251814208213,-2.344888639562055,2500.950187161344,0.02020243449865843,2.95890033431179,6.30991145782815,16.645651179869468,1.02537100417077,26.370602336183,34.70437445440563,14.9440895675429,0,0,22.955562637697614,27.39597334035377
7_2,minor_road,0,34.72329690547966,-2.36468681575828,2501.340733934507,0.7525285417674991,3.04035959109724,3.6882056621905,7.459214560076671,0,22.5399269448371,42.261774537035095,24.0508782958591,0,0,11.14742022226717,22.5399269448371
